weight:1.200000---avg:0.256234 mseX:0.090861 mseY:0.133980 mseS:0.112420
weight:1.200000---avg:0.256282 mseX:0.092675 mseY:0.128565 mseS:0.110620
weight:1.200000---avg:0.255578 mseX:0.090023 mseY:0.130625 mseS:0.110324
weight:1.200000---avg:0.254897 mseX:0.090064 mseY:0.129260 mseS:0.109662
weight:1.200000---avg:0.256962 mseX:0.090212 mseY:0.133487 mseS:0.111850
weight:1.200000---avg:0.255161 mseX:0.089728 mseY:0.130488 mseS:0.110108
weight:1.200000---avg:0.255196 mseX:0.089660 mseY:0.129222 mseS:0.109441
weight:1.200000---avg:0.255456 mseX:0.091324 mseY:0.127813 mseS:0.109569
weight:1.200000---avg:0.256739 mseX:0.091951 mseY:0.129300 mseS:0.110626
weight:1.200000---avg:0.254081 mseX:0.089849 mseY:0.129003 mseS:0.109426
weight:1.200000---avg:0.254761 mseX:0.089588 mseY:0.128883 mseS:0.109235
weight:1.200000---avg:0.256748 mseX:0.091243 mseY:0.130583 mseS:0.110913
weight:1.200000---avg:0.257613 mseX:0.090688 mseY:0.132045 mseS:0.111366
weight:1.200000---avg:0.253057 mseX:0.088151 mseY:0.129378 mseS:0.108765
weight:1.200000---avg:0.259510 mseX:0.092102 mseY:0.133047 mseS:0.112575
weight:1.200000---avg:0.259676 mseX:0.092787 mseY:0.133541 mseS:0.113164
weight:1.200000---avg:0.255735 mseX:0.088957 mseY:0.130461 mseS:0.109709
weight:1.200000---avg:0.251857 mseX:0.088755 mseY:0.124803 mseS:0.106779
weight:1.200000---avg:0.254719 mseX:0.088385 mseY:0.130775 mseS:0.109580
weight:1.200000---avg:0.257895 mseX:0.089465 mseY:0.133664 mseS:0.111565
weight:1.200000---avg:0.254427 mseX:0.088779 mseY:0.128210 mseS:0.108494
weight:1.200000---avg:0.258287 mseX:0.090800 mseY:0.132601 mseS:0.111701
weight:1.200000---avg:0.256760 mseX:0.088905 mseY:0.131742 mseS:0.110323
weight:1.200000---avg:0.254867 mseX:0.089244 mseY:0.127173 mseS:0.108208
weight:1.200000---avg:0.258905 mseX:0.090018 mseY:0.133737 mseS:0.111878
weight:1.200000---avg:0.258110 mseX:0.089465 mseY:0.133222 mseS:0.111343
weight:1.200000---avg:0.260173 mseX:0.091445 mseY:0.134646 mseS:0.113045
weight:1.200000---avg:0.255957 mseX:0.088771 mseY:0.131201 mseS:0.109986
weight:1.200000---avg:0.260025 mseX:0.092175 mseY:0.132754 mseS:0.112465
weight:1.200000---avg:0.257162 mseX:0.089967 mseY:0.131855 mseS:0.110911
weight:1.200000---avg:0.259625 mseX:0.091200 mseY:0.132148 mseS:0.111674
weight:1.200000---avg:0.260994 mseX:0.091106 mseY:0.136806 mseS:0.113956
weight:1.200000---avg:0.260297 mseX:0.092016 mseY:0.132392 mseS:0.112204
weight:1.200000---avg:0.255103 mseX:0.087640 mseY:0.131863 mseS:0.109752
