a:0.200000 yawdd:0.050000 laspx:0.120000 laspy:0.090000---avg:0.707937 mseX:0.741576 mseY:1.122752 mseS:0.932164
a:0.400000 yawdd:0.050000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.600000 yawdd:0.050000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.800000 yawdd:0.050000 laspx:0.120000 laspy:0.090000---avg:0.707346 mseX:0.738211 mseY:1.128786 mseS:0.933498
a:1.000000 yawdd:0.050000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.200000 yawdd:0.050000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.400000 yawdd:0.050000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.600000 yawdd:0.050000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.800000 yawdd:0.050000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.200000 yawdd:0.100000 laspx:0.120000 laspy:0.090000---avg:0.706087 mseX:0.744649 mseY:1.118445 mseS:0.931547
a:0.400000 yawdd:0.100000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.600000 yawdd:0.100000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.800000 yawdd:0.100000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.000000 yawdd:0.100000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.200000 yawdd:0.100000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.400000 yawdd:0.100000 laspx:0.120000 laspy:0.090000---avg:0.706087 mseX:0.744649 mseY:1.118445 mseS:0.931547
a:1.600000 yawdd:0.100000 laspx:0.120000 laspy:0.090000---avg:0.706087 mseX:0.744649 mseY:1.118445 mseS:0.931547
a:1.800000 yawdd:0.100000 laspx:0.120000 laspy:0.090000---avg:0.707747 mseX:0.739013 mseY:1.128289 mseS:0.933651
a:0.200000 yawdd:0.150000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.400000 yawdd:0.150000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.600000 yawdd:0.150000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.800000 yawdd:0.150000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.000000 yawdd:0.150000 laspx:0.120000 laspy:0.090000---avg:0.707747 mseX:0.739013 mseY:1.128289 mseS:0.933651
a:1.200000 yawdd:0.150000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.400000 yawdd:0.150000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.600000 yawdd:0.150000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.800000 yawdd:0.150000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.200000 yawdd:0.200000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.400000 yawdd:0.200000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.600000 yawdd:0.200000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.800000 yawdd:0.200000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.000000 yawdd:0.200000 laspx:0.120000 laspy:0.090000---avg:0.706087 mseX:0.744649 mseY:1.118445 mseS:0.931547
a:1.200000 yawdd:0.200000 laspx:0.120000 laspy:0.090000---avg:0.706087 mseX:0.744649 mseY:1.118445 mseS:0.931547
a:1.400000 yawdd:0.200000 laspx:0.120000 laspy:0.090000---avg:0.707747 mseX:0.739013 mseY:1.128289 mseS:0.933651
a:1.600000 yawdd:0.200000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.800000 yawdd:0.200000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.200000 yawdd:0.250000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.400000 yawdd:0.250000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.600000 yawdd:0.250000 laspx:0.120000 laspy:0.090000---avg:0.706087 mseX:0.744649 mseY:1.118445 mseS:0.931547
a:0.800000 yawdd:0.250000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.000000 yawdd:0.250000 laspx:0.120000 laspy:0.090000---avg:0.708491 mseX:0.741259 mseY:1.134065 mseS:0.937662
a:1.200000 yawdd:0.250000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.400000 yawdd:0.250000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:1.600000 yawdd:0.250000 laspx:0.120000 laspy:0.090000---avg:0.706087 mseX:0.744649 mseY:1.118445 mseS:0.931547
a:1.800000 yawdd:0.250000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.200000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.400000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.600000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
a:0.800000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.706087 mseX:0.744649 mseY:1.118445 mseS:0.931547
a:1.000000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.706087 mseX:0.744649 mseY:1.118445 mseS:0.931547
a:1.200000 yawdd:0.300000 laspx:0.120000 laspy:0.090000---avg:0.704950 mseX:0.741574 mseY:1.113183 mseS:0.927378
